episode,agent_0,agent_1,agent_2,mean_return
0,22.0,16.0,125.0,54.333332
1,22.0,0.0,149.0,57.0
2,29.0,57.0,101.0,62.333332
3,7.0,33.0,12.0,17.333334
4,13.0,44.0,26.0,27.666666
5,54.0,60.0,13.0,42.333332
6,0.0,48.0,16.0,21.333334
7,0.0,0.0,46.0,15.333333
8,59.0,106.0,126.0,97.0
9,0.0,30.0,46.0,25.333334
MEAN,20.6,39.4,66.0,42.0
