episode,agent_0,agent_1,agent_2,mean_return
0,10.0,0.0,56.0,22.0
1,53.0,112.0,6.0,57.0
2,26.0,60.0,5.0,30.333334
3,1.0,24.0,19.0,14.666667
4,39.0,37.0,21.0,32.333332
5,63.0,75.0,10.0,49.333332
6,0.0,99.0,60.0,53.0
7,6.0,42.0,67.0,38.333332
8,59.0,80.0,36.0,58.333332
9,37.0,42.0,88.0,55.666668
MEAN,29.4,57.1,36.8,41.1
